family,name,class,cap-shape,Cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type
0,60,1,6,2,1,7,11,0,4,1,2
0,60,1,6,2,1,7,11,0,4,1,5
0,60,1,6,2,6,7,11,0,4,1,2
0,60,1,6,2,6,7,11,0,4,1,5
0,60,1,6,3,1,7,11,0,4,1,2
0,60,1,6,3,1,7,11,0,4,1,5
0,60,1,6,3,6,7,11,0,4,1,2
0,60,1,6,3,6,7,11,0,4,1,5
0,60,1,2,2,1,7,11,0,4,1,2
0,60,1,2,2,1,7,11,0,4,1,5
0,60,1,2,2,6,7,11,0,4,1,2
0,60,1,2,2,6,7,11,0,4,1,5
0,60,1,2,3,1,7,11,0,4,1,2
0,60,1,2,3,1,7,11,0,4,1,5
0,60,1,2,3,6,7,11,0,4,1,2
0,60,1,2,3,6,7,11,0,4,1,5
0,96,1,4,2,5,7,11,0,4,1,5
0,96,1,6,2,5,7,11,0,4,1,5
0,55,1,6,11,2,8,11,0,4,1,0
0,55,1,6,11,2,8,11,0,4,1,2
0,55,1,6,11,5,8,11,0,4,1,0
0,55,1,6,11,5,8,11,0,4,1,2
0,55,1,2,11,2,8,11,0,4,1,0
0,55,1,2,11,2,8,11,0,4,1,2
0,55,1,2,11,5,8,11,0,4,1,0
0,55,1,2,11,5,8,11,0,4,1,2
0,145,0,6,11,5,8,11,0,4,1,2
0,145,0,2,11,5,8,11,0,4,1,2
0,41,1,6,3,8,8,11,0,4,1,2
0,41,1,6,3,8,8,11,0,4,1,5
0,41,1,2,3,8,8,11,0,4,1,2
0,41,1,2,3,8,8,11,0,4,1,5
0,54,0,6,11,10,8,11,0,5,1,2
0,54,0,6,11,10,8,11,0,4,1,2
0,54,0,6,11,10,8,12,0,5,1,2
0,54,0,6,11,10,8,12,0,4,1,2
0,54,0,6,11,11,8,11,0,5,1,2
0,54,0,6,11,11,8,11,0,4,1,2
0,54,0,6,11,11,8,12,0,5,1,2
0,54,0,6,11,11,8,12,0,4,1,2
0,42,1,0,8,10,7,11,0,4,1,3
0,42,1,0,8,10,7,11,0,4,1,0
0,144,0,1,3,5,5,11,0,4,0,1
0,144,0,1,3,5,5,6,0,4,0,1
0,144,0,1,8,5,5,11,0,4,0,1
0,144,0,1,8,5,5,6,0,4,0,1
0,144,0,6,3,5,5,11,0,4,0,1
0,144,0,6,3,5,5,6,0,4,0,1
0,144,0,6,8,5,5,11,0,4,0,1
0,144,0,6,8,5,5,6,0,4,0,1
12,98,0,4,10,10,8,6,1,6,1,4
12,98,0,4,10,5,8,6,1,6,1,4
12,98,0,2,10,10,8,6,1,6,1,4
12,98,0,2,10,5,8,6,1,6,1,4
12,120,0,6,1,5,8,11,1,6,1,8
12,120,0,6,10,5,8,11,1,6,1,8
12,136,1,0,10,1,4,11,1,6,1,0
12,136,1,0,10,5,4,11,1,6,1,0
12,136,1,0,10,7,4,11,1,6,1,0
12,136,1,0,10,10,4,11,1,6,1,0
12,136,1,2,10,1,4,11,1,6,1,0
12,136,1,2,10,5,4,11,1,6,1,0
12,136,1,2,10,7,4,11,1,6,1,0
12,136,1,2,10,10,4,11,1,6,1,0
21,116,1,6,10,11,7,12,1,6,1,6
21,116,1,6,10,11,7,6,1,6,1,6
21,116,1,6,10,5,7,12,1,6,1,6
21,116,1,6,10,5,7,6,1,6,1,6
21,147,0,2,10,5,3,6,1,6,0,1
21,147,0,5,10,5,3,6,1,6,0,1
21,0,0,6,11,0,8,11,1,6,0,1
21,0,0,6,11,9,8,11,1,6,0,1
21,163,0,2,11,4,8,0,1,6,0,1
21,163,0,2,11,4,8,10,1,6,0,1
21,163,0,2,11,9,8,0,1,6,0,1
21,163,0,2,11,9,8,10,1,6,0,1
21,163,0,2,11,2,8,0,1,6,0,1
21,163,0,2,11,2,8,10,1,6,0,1
21,163,0,2,11,5,8,0,1,6,0,1
21,163,0,2,11,5,8,10,1,6,0,1
21,163,0,5,11,4,8,0,1,6,0,1
21,163,0,5,11,4,8,10,1,6,0,1
21,163,0,5,11,9,8,0,1,6,0,1
21,163,0,5,11,9,8,10,1,6,0,1
21,163,0,5,11,2,8,0,1,6,0,1
21,163,0,5,11,2,8,10,1,6,0,1
21,163,0,5,11,5,8,0,1,6,0,1
21,163,0,5,11,5,8,10,1,6,0,1
21,57,0,6,11,2,8,10,1,6,0,1
21,57,0,6,11,5,8,10,1,6,0,1
21,57,0,2,11,2,8,10,1,6,0,1
21,57,0,2,11,5,8,10,1,6,0,1
21,57,0,5,11,2,8,10,1,6,0,1
21,57,0,5,11,5,8,10,1,6,0,1
21,27,0,6,1,2,8,11,1,6,0,1
21,27,0,6,1,5,8,11,1,6,0,1
21,27,0,2,1,2,8,11,1,6,0,1
21,27,0,2,1,5,8,11,1,6,0,1
21,27,0,5,1,2,8,11,1,6,0,1
21,27,0,5,1,5,8,11,1,6,0,1
21,28,1,6,11,2,8,6,1,6,0,1
21,28,1,6,11,5,8,6,1,6,0,1
21,28,1,2,11,2,8,6,1,6,0,1
21,28,1,2,11,5,8,6,1,6,0,1
21,33,0,5,11,5,5,11,1,6,0,1
21,1,0,6,11,4,8,5,1,6,0,1
21,1,0,6,11,4,8,9,1,6,0,1
21,1,0,6,11,4,8,11,1,6,0,1
21,1,0,6,11,8,8,5,1,6,0,1
21,1,0,6,11,8,8,9,1,6,0,1
21,1,0,6,11,8,8,11,1,6,0,1
21,1,0,6,11,10,8,5,1,6,0,1
21,1,0,6,11,10,8,9,1,6,0,1
21,1,0,6,11,10,8,11,1,6,0,1
21,76,1,6,7,10,8,11,1,6,0,1
21,76,1,6,7,2,8,11,1,6,0,1
21,76,1,2,7,10,8,11,1,6,0,1
21,76,1,2,7,2,8,11,1,6,0,1
21,76,1,5,7,10,8,11,1,6,0,1
21,76,1,5,7,2,8,11,1,6,0,1
21,164,1,2,6,5,8,6,1,6,0,1
21,164,1,2,6,5,8,12,1,6,0,1
21,164,1,2,6,1,8,6,1,6,0,1
21,164,1,2,6,1,8,12,1,6,0,1
21,164,1,2,6,11,8,6,1,6,0,1
21,164,1,2,6,11,8,12,1,6,0,1
21,112,1,2,0,5,3,6,1,6,0,1
21,112,1,2,0,5,5,6,1,6,0,1
21,112,1,2,0,0,3,6,1,6,0,1
