family,name,class,cap-shape,Cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type
Amanita Family,Fly Agaric,p,x,g,e,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,x,g,e,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,x,g,o,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,x,g,o,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,x,h,e,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,x,h,e,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,x,h,o,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,x,h,o,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,f,g,e,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,f,g,e,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,f,g,o,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,f,g,o,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,f,h,e,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,f,h,e,y,w,u,w,t,p
Amanita Family,Fly Agaric,p,f,h,o,y,w,u,w,t,g
Amanita Family,Fly Agaric,p,f,h,o,y,w,u,w,t,p
Amanita Family,Panther Cap,p,p,g,n,y,w,u,w,t,p
Amanita Family,Panther Cap,p,x,g,n,y,w,u,w,t,p
Amanita Family,False Panther Cap,p,x,,g,,w,u,w,t,e
Amanita Family,False Panther Cap,p,x,,g,,w,u,w,t,g
Amanita Family,False Panther Cap,p,x,,n,,w,u,w,t,e
Amanita Family,False Panther Cap,p,x,,n,,w,u,w,t,g
Amanita Family,False Panther Cap,p,f,,g,,w,u,w,t,e
Amanita Family,False Panther Cap,p,f,,g,,w,u,w,t,g
Amanita Family,False Panther Cap,p,f,,n,,w,u,w,t,e
Amanita Family,False Panther Cap,p,f,,n,,w,u,w,t,g
Amanita Family,The Blusher,e,x,,n,,w,u,w,t,g
Amanita Family,The Blusher,e,f,,n,,w,u,w,t,g
Amanita Family,Death Cap,p,x,h,r,,w,u,w,t,g
Amanita Family,Death Cap,p,x,h,r,,w,u,w,t,p
Amanita Family,Death Cap,p,f,h,r,,w,u,w,t,g
Amanita Family,Death Cap,p,f,h,r,,w,u,w,t,p
Amanita Family,False Death Cap,e,x,,w,,w,u,y,t,g
Amanita Family,False Death Cap,e,x,,w,,w,u,w,t,g
Amanita Family,False Death Cap,e,x,,w,,y,u,y,t,g
Amanita Family,False Death Cap,e,x,,w,,y,u,w,t,g
Amanita Family,False Death Cap,e,x,,y,,w,u,y,t,g
Amanita Family,False Death Cap,e,x,,y,,w,u,w,t,g
Amanita Family,False Death Cap,e,x,,y,,y,u,y,t,g
Amanita Family,False Death Cap,e,x,,y,,y,u,w,t,g
Amanita Family,Destroying Angel,p,b,t,w,y,w,u,w,t,l
Amanita Family,Destroying Angel,p,b,t,w,y,w,u,w,t,e
Amanita Family,Tawny Grisette,e,c,h,n,s,w,u,w,f,f
Amanita Family,Tawny Grisette,e,c,h,n,s,n,u,w,f,f
Amanita Family,Tawny Grisette,e,c,t,n,s,w,u,w,f,f
Amanita Family,Tawny Grisette,e,c,t,n,s,n,u,w,f,f
Amanita Family,Tawny Grisette,e,x,h,n,s,w,u,w,f,f
Amanita Family,Tawny Grisette,e,x,h,n,s,n,u,w,f,f
Amanita Family,Tawny Grisette,e,x,t,n,s,w,u,w,f,f
Amanita Family,Tawny Grisette,e,x,t,n,s,n,u,w,f,f
Lepiota Family,Parasol Mushroom,e,p,y,w,,n,,,t,m
Lepiota Family,Parasol Mushroom,e,p,y,n,,n,,,t,m
Lepiota Family,Parasol Mushroom,e,f,y,w,,n,,,t,m
Lepiota Family,Parasol Mushroom,e,f,y,n,,n,,,t,m
Lepiota Family,Shaggy Parasol,e,x,e,n,,w,,,t,
Lepiota Family,Shaggy Parasol,e,x,y,n,,w,,,t,
Lepiota Family,Stinking Parasol,p,b,y,e,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,b,y,n,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,b,y,p,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,b,y,w,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,f,y,e,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,f,y,n,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,f,y,p,k,w,,,t,e
Lepiota Family,Stinking Parasol,p,f,y,w,k,w,,,t,e
Tricholoma Family,Saffron Parasol,p,x,y,y,y,y,,,t,r
Tricholoma Family,Saffron Parasol,p,x,y,y,y,n,,,t,r
Tricholoma Family,Saffron Parasol,p,x,y,n,y,y,,,t,r
Tricholoma Family,Saffron Parasol,p,x,y,n,y,n,,,t,r
Tricholoma Family,The Deceiver,e,f,y,n,i,n,,,f,f
Tricholoma Family,The Deceiver,e,s,y,n,i,n,,,f,f
Tricholoma Family,Amethyst Deceiver,e,x,,b,,w,,,f,f
Tricholoma Family,Amethyst Deceiver,e,x,,u,,w,,,f,f
Tricholoma Family,Wood Blewit,e,f,,l,,b,,,f,f
Tricholoma Family,Wood Blewit,e,f,,l,,u,,,f,f
Tricholoma Family,Wood Blewit,e,f,,u,,b,,,f,f
Tricholoma Family,Wood Blewit,e,f,,u,,u,,,f,f
Tricholoma Family,Wood Blewit,e,f,,g,,b,,,f,f
Tricholoma Family,Wood Blewit,e,f,,g,,u,,,f,f
Tricholoma Family,Wood Blewit,e,f,,n,,b,,,f,f
Tricholoma Family,Wood Blewit,e,f,,n,,u,,,f,f
Tricholoma Family,Wood Blewit,e,s,,l,,b,,,f,f
Tricholoma Family,Wood Blewit,e,s,,l,,u,,,f,f
Tricholoma Family,Wood Blewit,e,s,,u,,b,,,f,f
Tricholoma Family,Wood Blewit,e,s,,u,,u,,,f,f
Tricholoma Family,Wood Blewit,e,s,,g,,b,,,f,f
Tricholoma Family,Wood Blewit,e,s,,g,,u,,,f,f
Tricholoma Family,Wood Blewit,e,s,,n,,b,,,f,f
Tricholoma Family,Wood Blewit,e,s,,n,,u,,,f,f
Tricholoma Family,Field Blewit,e,x,,g,,u,,,f,f
Tricholoma Family,Field Blewit,e,x,,n,,u,,,f,f
Tricholoma Family,Field Blewit,e,f,,g,,u,,,f,f
Tricholoma Family,Field Blewit,e,f,,n,,u,,,f,f
Tricholoma Family,Field Blewit,e,s,,g,,u,,,f,f
Tricholoma Family,Field Blewit,e,s,,n,,u,,,f,f
Tricholoma Family,Clouded Agaric,e,x,e,g,,w,,,f,f
Tricholoma Family,Clouded Agaric,e,x,e,n,,w,,,f,f
Tricholoma Family,Clouded Agaric,e,f,e,g,,w,,,f,f
Tricholoma Family,Clouded Agaric,e,f,e,n,,w,,,f,f
Tricholoma Family,Clouded Agaric,e,s,e,g,,w,,,f,f
Tricholoma Family,Clouded Agaric,e,s,e,n,,w,,,f,f
Tricholoma Family,Club-footed Funnel Cap,p,x,,g,,n,,,f,f
Tricholoma Family,Club-footed Funnel Cap,p,x,,n,,n,,,f,f
Tricholoma Family,Club-footed Funnel Cap,p,f,,g,,n,,,f,f
Tricholoma Family,Club-footed Funnel Cap,p,f,,n,,n,,,f,f
Tricholoma Family,Common Funnel Cap,e,s,,n,s,w,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,l,,l,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,l,,r,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,l,,w,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,r,,l,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,r,,r,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,r,,w,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,w,,l,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,w,,r,,,f,f
Tricholoma Family,Aniseed Funnel Cap,e,x,,w,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,x,s,w,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,x,s,g,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,f,s,w,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,f,s,g,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,s,s,w,,w,,,f,f
Tricholoma Family,Ivory Clitocybe,p,s,s,g,,w,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,n,,n,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,n,,y,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,e,,n,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,e,,y,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,y,,n,,,f,f
Tricholoma Family,Wood Woolly-foot,p,f,l,y,,y,,,f,f
Tricholoma Family,Russet Tough Shank,p,f,d,n,i,n,,,f,f
Tricholoma Family,Russet Tough Shank,p,f,d,n,s,n,,,f,f
Tricholoma Family,Russet Tough Shank,p,f,d,b,i,n,,,f,f
Tricholoma Family,Russet Tough Shank,p,f,d,b,s,n,,,f,f
Tricholoma Family,Clustered Tough Shank,p,x,,n,,n,,,f,f
Tricholoma Family,Clustered Tough Shank,p,x,,n,,p,,,f,f
Tricholoma Family,Clustered Tough Shank,p,x,,w,,n,,,f,f
Tricholoma Family,Clustered Tough Shank,p,x,,w,,p,,,f,f
Tricholoma Family,Clustered Tough Shank,p,f,,n,,n,,,f,f
Tricholoma Family,Clustered Tough Shank,p,f,,n,,p,,,f,f
Tricholoma Family,Clustered Tough Shank,p,f,,w,,n,,,f,f
Tricholoma Family,Clustered Tough Shank,p,f,,w,,p,,,f,f
Tricholoma Family,Greasy Tough Shank,e,x,s,n,s,n,,,f,f
Tricholoma Family,Greasy Tough Shank,e,x,s,b,s,n,,,f,f
Tricholoma Family,Greasy Tough Shank,e,f,s,n,s,n,,,f,f
Tricholoma Family,Greasy Tough Shank,e,f,s,b,s,n,,,f,f
Tricholoma Family,Spotted Tough Shank,p,x,,w,i,w,,,f,f
Tricholoma Family,Spotted Tough Shank,p,x,,n,i,w,,,f,f
Tricholoma Family,Spotted Tough Shank,p,f,,w,i,w,,,f,f
Tricholoma Family,Spotted Tough Shank,p,f,,n,i,w,,,f,f
Tricholoma Family,Fairy Ring Champignon,e,b,g,n,,y,,,f,f
Tricholoma Family,Fairy Ring Champignon,e,b,g,w,,y,,,f,f
Tricholoma Family,Little Wheel Fungus,p,x,g,w,,n,,,f,f
Tricholoma Family,Little Wheel Fungus,p,x,g,w,,e,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,n,s,k,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,n,h,k,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,p,s,k,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,p,h,k,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,e,s,k,,,f,f
Tricholoma Family,Horse-hair Fungus,p,x,g,e,h,k,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,b,g,n,s,n,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,b,g,n,s,g,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,b,g,g,s,n,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,b,g,g,s,g,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,f,g,n,s,n,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,f,g,n,s,g,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,f,g,g,s,n,,,f,f
Tricholoma Family,Bonnet Bell Cap,e,f,g,g,s,g,,,f,f
Tricholoma Family,Stump Bell Cap,p,b,,g,s,g,,,f,f
Tricholoma Family,Stump Bell Cap,p,b,,g,s,n,,,f,f
Tricholoma Family,Stump Bell Cap,p,b,,n,s,g,,,f,f
Tricholoma Family,Stump Bell Cap,p,b,,n,s,n,,,f,f
Tricholoma Family,Tufted Bell Cap,p,x,g,e,,n,,,f,f
Tricholoma Family,Tufted Bell Cap,p,x,g,e,,w,,,f,f
Tricholoma Family,Tufted Bell Cap,p,x,g,n,,n,,,f,f
Tricholoma Family,Tufted Bell Cap,p,x,g,n,,w,,,f,f
