class,cap-shape,cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type
e,x,h,n,y,n,,,t,r
p,x,,u,,u,,u,f,f
e,f,t,n,t,o,,,f,f
e,x,,n,,n,,w,t,
e,f,,u,,b,,,f,f
p,b,,g,s,g,,,f,f
p,f,k,n,i,n,,,t,
e,x,w,n,,w,,,f,f
e,f,s,n,t,n,,,f,f
p,x,h,o,g,o,,,f,f
e,x,,n,,w,,w,t,
p,x,s,y,,y,u,w,t,z
p,f,t,y,,y,,,f,f
e,s,t,p,,w,,,f,f
p,x,g,p,h,k,,,f,f
e,f,y,n,,w,,,f,f
e,x,s,w,,w,,,t,r
e,p,y,n,,n,,,t,m
e,s,,g,,u,,,f,f
e,f,s,w,s,w,,,t,e
p,f,y,p,k,w,,,t,e
e,s,,w,,w,,,f,f
p,s,d,e,,e,,,f,f
p,x,i,n,i,n,,k,t,z
e,f,d,p,,n,,,f,f
e,s,,w,,w,,,f,f
p,f,,r,,w,,,f,f
p,x,y,n,y,y,,,t,r
p,x,g,y,s,n,,,f,f
e,s,,w,,w,,,f,f
p,x,g,y,s,n,,,f,f
p,f,y,u,y,u,,,f,f
e,f,s,n,i,n,,,t,
p,x,e,e,,e,,w,t,z
p,f,,r,,w,,,f,f
e,s,,n,s,w,,,f,f
p,x,i,e,,e,,,f,f
p,x,h,o,g,o,,,f,f
p,f,t,n,i,n,,,f,f
p,x,h,n,y,o,,,t,z
p,b,t,w,y,w,u,w,t,e
e,x,s,n,i,n,,,f,f
e,s,,n,s,w,,,f,f
p,x,i,l,,w,,,f,f
p,x,t,n,,n,,,f,f
e,x,,n,,n,,w,t,
e,b,g,w,,y,,,f,f
e,x,h,n,,n,,,f,f
p,b,,n,,n,,w,f,f
e,x,s,k,,w,,,f,f
p,b,t,w,y,w,u,w,t,e
e,f,s,k,,w,,,f,f
p,x,t,o,y,n,,,t,z
e,x,,r,,l,,,f,f
p,b,,g,,n,,w,f,f
e,f,t,n,t,w,,,f,f
e,x,,e,s,w,,,f,f
p,f,k,n,,n,,,f,f
p,f,,n,,n,,,f,f
e,x,s,n,i,n,,,f,f
p,x,s,n,y,n,,,f,f
p,x,,n,,n,,u,f,f
p,x,y,y,y,y,,,t,r
e,f,s,y,,w,,,f,f
p,x,y,o,,y,,,f,f
p,b,w,p,t,y,,,f,f
e,f,,e,s,w,,,f,f
p,p,t,n,t,y,,,t,e
e,f,s,e,i,n,,,t,
p,x,i,y,i,n,,k,t,z
p,s,d,w,h,w,,,f,f
p,f,w,n,g,n,,,f,f
p,b,,k,,n,,w,f,f
p,x,g,p,s,k,,,f,f
p,x,t,o,y,n,,,t,z
e,x,k,n,,y,,,f,f
p,x,s,y,,y,u,w,t,z
e,s,t,p,,w,,,f,f
p,p,g,n,y,w,u,w,t,p
e,x,h,n,t,g,,,t,l
p,f,k,n,i,y,,,t,
e,x,e,y,,w,,,f,f
p,x,,n,,g,,u,f,f
p,x,g,n,y,w,u,w,t,p
p,x,y,o,,o,,,f,f
e,s,l,w,,w,,,f,f
p,x,w,n,g,n,,,f,f
p,x,i,n,,n,,n,f,f
e,x,,y,,w,,,f,f
p,b,h,n,t,n,,,f,f
p,p,y,w,,w,,,f,f
p,x,s,n,i,w,,,f,f
p,f,,o,,o,,,f,f
e,p,i,n,y,w,,,t,p
p,x,y,o,,y,,,f,f
p,f,,y,,w,,,f,f
p,f,,o,,y,,,f,f
p,f,k,n,,n,,,f,f
e,x,t,n,k,n,,,f,f
p,b,s,y,,y,u,w,t,z
p,x,g,n,y,w,u,w,t,p
p,s,h,n,t,r,,,f,f
p,x,,o,,o,,,f,f
e,f,s,e,i,n,,,t,
e,f,h,n,k,n,,,f,f
p,f,l,e,,y,,,f,f
e,x,s,w,,w,,,t,l
p,c,,u,i,u,,,f,f
e,s,s,o,,w,,,f,f
e,c,h,n,s,w,u,w,f,f
p,x,k,w,,w,,,f,f
p,f,l,y,,y,,,f,f
e,f,e,n,,w,,,f,f
p,x,i,y,i,n,,k,t,z
p,s,w,o,,n,,,f,f
e,c,g,n,,g,,,f,f
p,f,d,b,i,n,,,f,f
p,f,h,e,y,w,u,w,t,g
p,b,i,e,,o,,,f,f
e,f,y,n,i,n,,,f,f
p,s,d,w,h,w,,,f,f
p,f,w,y,t,r,,,f,f
p,f,w,p,,p,,,f,f
e,b,y,n,,w,,,f,f
e,f,s,r,,p,,,f,f
e,f,d,b,,w,,,f,f
p,f,y,e,y,y,,,f,f
e,s,,n,,u,,,f,f
p,f,w,p,t,r,,,f,f
p,x,,g,,w,u,w,t,e
p,f,h,r,,w,u,w,t,p
e,x,h,p,,o,,,f,f
e,b,g,w,,y,,,f,f
p,b,,n,,g,,w,f,f
p,x,h,e,,w,,,f,f
e,b,g,w,,y,,,f,f
p,b,h,n,t,n,,,f,f
e,x,i,n,y,w,,,t,p
p,x,h,e,g,n,,,f,f
p,x,s,n,i,n,,,f,f
e,f,,n,,w,u,w,t,g
e,f,s,n,,w,,,f,f
e,x,,g,,g,,,f,f
e,f,s,e,i,n,,,t,
e,x,h,n,,n,,,f,f
e,x,s,n,i,w,,,f,f
e,f,,n,,w,u,w,t,g
p,s,d,n,,n,,,f,f
p,x,t,n,y,n,,,f,f
p,x,y,w,,w,,,t,l
p,x,k,n,,n,,,f,f
p,x,i,k,,w,,,f,f
p,f,,u,i,u,,,f,f
e,b,g,g,,w,,,f,f
e,f,,w,,w,,,f,f
e,x,e,n,,w,,,t,
p,s,t,n,,r,,,f,f
p,x,d,w,h,w,,,f,f
p,x,g,n,y,w,u,w,t,p
e,f,e,g,,w,,,f,f
p,x,t,n,g,n,,,f,f
p,b,t,y,t,r,,,f,f
p,s,d,w,h,w,,,f,f
e,x,h,n,,n,,,f,f
e,x,d,y,,y,,,f,f
p,f,i,l,,w,,,f,f
e,f,g,n,t,o,,,f,f
e,x,,n,,w,u,w,t,g
e,x,y,n,,w,,,t,
e,f,y,n,,w,,,f,f
p,f,t,n,i,g,,,f,f
p,s,t,r,t,g,,,f,f
p,x,,g,,w,u,w,t,g
p,x,y,y,y,n,,,t,r
e,x,,n,,u,,,f,f
p,x,e,y,,y,,,t,r
p,s,,u,,w,,,f,f
p,x,g,y,s,n,,,f,f
e,x,h,n,s,n,,,t,r
p,s,h,r,t,g,,,f,f
p,x,,b,,w,,,f,f
p,b,w,u,s,u,,,f,f
p,s,,n,,n,,,f,f
p,x,,o,,o,,,f,f
p,x,g,e,h,k,,,f,f
e,f,y,n,i,n,,,f,f
p,b,t,w,y,w,u,w,t,l
p,s,,o,,w,,,t,f
p,p,y,n,,w,,,f,f
p,f,,g,,w,u,w,t,e
p,b,g,y,,n,,,f,f
p,x,t,n,,w,,,f,f
e,f,h,n,s,o,,,f,f
p,s,t,g,,r,,,f,f
p,f,w,p,,p,,,f,f
e,x,g,e,,n,,,f,f
p,f,,u,,w,,,f,f
p,x,k,w,,w,,,f,f
p,b,s,g,s,w,,,t,z
p,x,g,e,,n,,,f,f
e,x,t,n,s,w,u,w,f,f
p,x,e,y,,y,,,t,r
p,x,i,y,i,n,,k,t,z
p,x,e,n,,n,,n,f,f
e,s,s,b,,w,,,f,f
p,f,,w,i,w,,,f,f
e,x,,g,,w,,,f,f
p,x,h,n,,y,,,f,f
p,f,s,o,,y,,,f,f
p,s,t,n,,y,,,f,f
p,x,k,n,,n,,,f,f
e,x,d,y,,y,,,f,f
e,x,,l,,r,,,f,f
p,f,h,r,,w,u,w,t,g
e,p,w,n,,n,,,f,f
p,b,h,n,t,n,,,f,f
p,f,,n,i,w,,,f,f
p,x,,n,,w,u,w,t,g
p,s,t,p,,p,,,t,f
e,c,t,n,s,w,u,w,f,f
e,x,d,n,,n,,,f,f
p,f,k,w,,w,,,f,f
p,f,,r,,w,,,f,f
p,f,,n,,n,,,f,f
p,x,i,n,,n,,e,f,f
e,x,h,n,,n,,,f,f
p,x,g,n,y,w,u,w,t,p
p,x,e,e,,n,,w,t,z
p,x,t,n,,w,,,f,f
e,s,l,w,,w,,,f,f
p,b,y,n,s,w,,,f,f
e,x,t,n,t,y,,,f,f
e,f,,e,s,w,,,f,f
p,x,y,n,y,y,,,t,
e,f,y,g,,w,,,f,f
p,x,k,w,,n,,,f,f
p,x,y,w,,w,,,t,l
p,x,,w,i,w,,,f,f
p,s,,o,,w,,,t,f
p,x,,n,,w,u,w,t,e
p,f,,y,,w,,,f,f
p,p,t,n,t,y,,,t,e
p,b,y,n,s,w,,,f,f
p,f,,b,,w,,,f,f
e,f,t,n,,w,,,f,f
p,p,y,w,,w,,,f,f
p,f,d,n,s,n,,,f,f
p,b,y,w,,w,,,f,f
p,b,,k,,n,,w,f,f
p,b,t,y,,n,,,t,f
e,f,,y,,w,,,f,f
e,f,g,n,s,n,,,f,f
e,x,,y,,w,,,f,f
p,f,w,p,,p,,,f,f
e,b,g,g,,w,,,f,f
e,s,e,n,,w,,,f,f
e,x,y,n,,w,,,t,
e,f,g,n,s,n,,,f,f
p,b,y,n,,w,,,f,f
e,f,s,r,,w,,,f,f
e,f,y,w,,n,,,t,m
e,x,,y,,y,u,w,t,g
p,x,h,n,,y,,,f,f
p,x,y,n,y,n,,,t,r
p,x,,n,,w,u,w,t,g
e,x,h,n,t,w,,,t,l
p,s,d,w,h,w,,,f,f
p,f,w,p,,p,,,f,f
e,f,d,w,,w,,,f,f
p,x,g,y,,w,,,f,f
p,x,g,n,s,n,,,f,f
p,b,t,w,y,w,u,w,t,e
e,x,,w,,l,,,f,f
e,f,s,w,s,w,,,t,e
e,s,l,w,,w,,,f,f
p,b,t,n,,n,,,t,f
p,x,,n,s,n,,,f,f
e,x,s,w,,w,,,f,f
p,f,,y,,w,,,f,f
p,x,t,n,,w,,n,t,z
p,x,g,e,,w,,,f,f
e,x,l,w,,w,,,f,f
p,f,,u,,w,,,f,f
e,x,t,y,,w,,,f,f
p,f,h,e,y,w,u,w,t,p
p,x,d,w,h,w,,,f,f
p,x,,b,,w,,,f,f
p,x,t,r,y,w,,,t,e
e,x,s,n,t,y,,,f,f
e,x,t,g,t,w,,,t,l
p,x,,n,i,w,,,f,f
e,x,s,y,i,n,,,t,
p,b,t,n,,w,,,t,
e,f,s,w,,w,,,f,f
e,f,,u,,u,,,f,f
p,x,h,y,i,n,,,f,f
e,x,y,n,y,n,,,f,f
p,x,e,n,,n,,n,f,f
p,f,,p,,w,,,f,f
p,x,y,o,,y,,,f,f
p,x,d,n,,e,,,f,f
p,x,t,n,y,n,,,f,f
e,x,t,y,t,y,,,f,f
p,x,t,n,,w,,,f,f
e,f,w,n,,w,,,f,f
p,b,y,n,s,w,,,f,f
e,f,s,w,,w,,,f,f
p,x,s,g,i,n,,,f,f
p,x,i,n,,n,,n,f,f
e,x,s,y,t,y,,,f,f
e,x,,w,,w,,w,t,
p,f,t,y,,y,,,f,f
p,c,i,y,,w,,,f,f
p,f,g,e,y,w,u,w,t,g
p,x,g,w,,n,,,f,f
p,s,,y,,w,,,t,f
p,x,e,y,,u,,,f,f
e,f,s,w,,w,,,f,f
e,s,l,w,,w,,,f,f
p,f,t,k,,r,,,f,f
p,f,d,n,i,n,,,t,
p,b,t,w,y,w,u,w,t,e
p,b,s,y,,y,u,w,t,z
p,x,,p,,w,,,f,f
p,x,,n,,n,,,f,f
e,f,s,k,,w,,,f,f
p,b,h,n,t,n,,,f,f
e,f,,n,,w,u,w,t,g
p,b,g,y,,n,,,f,f
e,x,l,w,,w,,,f,f
p,x,g,w,,n,,,f,f
e,x,y,n,y,n,,,f,f
p,x,h,w,i,n,,,f,f
p,x,s,n,y,n,,,f,f
p,b,h,n,,w,,,t,
e,f,y,n,i,n,,,f,f
p,x,g,w,,n,,,f,f
e,x,d,y,,y,,,f,f
e,b,g,n,,y,,,f,f
p,f,,b,,w,,,f,f
e,x,,n,,w,,,f,f
e,f,y,w,s,w,,,t,e
p,f,d,n,,e,,,f,f
e,x,,b,,w,,,f,f
p,x,h,e,y,w,u,w,t,g
p,x,y,n,y,n,,,t,r
e,x,d,e,,y,,,f,f
p,b,y,n,s,w,,,f,f
p,s,,u,,w,,,f,f
p,b,,n,s,n,,,f,f
p,f,,g,,n,,,f,f
e,x,,b,,w,,,f,f
p,x,i,k,,w,,,f,f
p,f,h,r,,w,u,w,t,p
e,p,g,w,,w,,,f,f
e,x,s,w,,w,,,f,f
e,s,,w,,w,,,f,f
p,x,t,e,,w,,,f,f
e,f,s,w,,w,,,f,f
p,f,,b,,w,,,f,f
p,f,s,o,,y,,,f,f
p,x,,o,,y,,,f,f
e,f,,n,,u,,,f,f
p,s,w,u,s,u,,,f,f
p,x,g,e,s,k,,,f,f
e,p,g,w,,w,,,f,f
p,x,k,w,,n,,,f,f
p,x,,n,s,n,,,f,f
e,x,d,b,,w,,,f,f
e,x,s,w,,w,,,f,f
p,c,i,y,,w,,,f,f
p,x,s,y,i,n,,,f,f
e,f,s,w,s,w,,,t,e
p,x,t,n,y,n,,,f,f
p,x,,n,s,n,,,f,f
e,f,s,o,i,o,,,f,f
p,x,d,w,h,w,,,f,f
e,s,,y,,g,,,f,f
e,s,,n,s,w,,,f,f
p,c,k,w,,w,,,f,f
p,x,,n,i,w,,,f,f
p,x,,w,,y,,,f,f
e,x,d,y,,y,,,f,f
p,x,e,e,,n,,w,t,z
p,x,y,y,y,y,,,t,
p,x,i,y,i,n,,k,t,z
e,x,e,y,,w,,,f,f
p,x,s,r,y,w,,,f,f
p,s,d,w,h,w,,,f,f
e,f,,y,,w,,,f,f
e,x,h,n,s,n,,,t,r
p,b,t,n,,n,,,t,f
p,x,h,y,i,n,,,f,f
p,s,h,g,t,n,,,f,f
p,x,,e,,y,,,f,f
e,x,h,n,t,g,,,t,l
p,x,,w,,n,,,f,f
p,x,y,r,y,l,,,t,e
p,x,y,y,y,n,,,t,
e,x,l,w,,w,,,f,f
e,p,s,w,,w,,w,t,e
p,x,e,y,,o,,,t,r
e,x,h,y,,w,,,f,f
p,x,i,e,,e,,,f,f
p,x,g,o,,y,,,f,f
p,f,,w,i,u,,,f,f
p,x,s,g,i,n,,,f,f
p,f,t,n,g,n,,,f,f
p,b,t,w,y,w,u,w,t,l
e,x,y,y,,n,,w,t,e
p,x,,n,s,n,,,f,f
p,b,t,w,y,w,u,w,t,l
p,x,,e,,y,,,f,f
p,x,t,y,g,o,,,f,f
e,p,,n,,w,,,f,f
p,x,,e,,y,,,f,f
p,f,,g,,w,u,w,t,g
e,x,y,n,y,n,,,f,f
p,b,s,e,,k,,,f,f
p,f,d,n,,e,,,f,f
e,c,g,n,,g,,,f,f
e,f,i,n,,w,,,t,l
e,x,,u,,w,,,f,f
e,s,,n,s,w,,,f,f
p,x,g,n,y,w,u,w,t,p
e,f,h,k,s,g,,,f,f
p,s,h,r,t,n,,,f,f
e,f,,y,,w,,,f,f
e,f,,n,,w,u,w,t,g
p,x,,g,,n,,,f,f
e,s,s,n,,p,,,f,f
p,x,,u,,u,,u,f,f
e,s,y,n,i,n,,,f,f
p,s,,e,,n,,,f,f
e,x,s,n,i,w,,,f,f
