family,name,class,cap-shape,Cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type
Amanita Family,Fly Agaric,p,"[x, f]","[g, h]","[e, o]",[y],[w],[u],[w],[t],"[g, p]"
Amanita Family,Panther Cap,p,"[p, x]",[g],[n],[y],[w],[u],[w],[t],[p]
Amanita Family,False Panther Cap,p,"[x, f]",,"[g, n]",,[w],[u],[w],[t],"[e, g]"
Amanita Family,The Blusher,e,"[x, f]",,[n],,[w],[u],[w],[t],[g]
Amanita Family,Death Cap,p,"[x, f]",[h],[r],,[w],[u],[w],[t],"[g, p]"
Amanita Family,False Death Cap,e,[x],,"[w, y]",,"[w, y]",[u],"[y, w]",[t],[g]
Amanita Family,Destroying Angel,p,[b],[t],[w],[y],[w],[u],[w],[t],"[l, e]"
Amanita Family,Tawny Grisette,e,"[c, x]","[h, t]",[n],[s],"[w, n]",[u],[w],[f],[f]
Lepiota Family,Parasol Mushroom,e,"[p, f]",[y],"[w, n]",,[n],,,[t],[m]
Lepiota Family,Shaggy Parasol,e,[x],"[e, y]",[n],,[w],,,[t],
Lepiota Family,Stinking Parasol,p,"[b, f]",[y],"[e, n, p, w]",[k],[w],,,[t],[e]
Tricholoma Family,Saffron Parasol,p,[x],[y],"[y, n]",[y],"[y, n]",,,[t],[r]
Tricholoma Family,The Deceiver,e,"[f, s]",[y],[n],[i],[n],,,[f],[f]
Tricholoma Family,Amethyst Deceiver,e,[x],,"[b, u]",,[w],,,[f],[f]
Tricholoma Family,Wood Blewit,e,"[f, s]",,"[l, u, g, n]",,"[b, u]",,,[f],[f]
Tricholoma Family,Field Blewit,e,"[x, f, s]",,"[g, n]",,[u],,,[f],[f]
Tricholoma Family,Clouded Agaric,e,"[x, f, s]",[e],"[g, n]",,[w],,,[f],[f]
Tricholoma Family,Club-footed Funnel Cap,p,"[x, f]",,"[g, n]",,[n],,,[f],[f]
Tricholoma Family,Common Funnel Cap,e,[s],,[n],[s],[w],,,[f],[f]
Tricholoma Family,Aniseed Funnel Cap,e,[x],,"[l, r, w]",,"[l, r, w]",,,[f],[f]
Tricholoma Family,Ivory Clitocybe,p,"[x, f, s]",[s],"[w, g]",,[w],,,[f],[f]
Tricholoma Family,Wood Woolly-foot,p,[f],[l],"[n, e, y]",,"[n, y]",,,[f],[f]
Tricholoma Family,Russet Tough Shank,p,[f],[d],"[n, b]","[i, s]",[n],,,[f],[f]
Tricholoma Family,Clustered Tough Shank,p,"[x, f]",,"[n, w]",,"[n, p]",,,[f],[f]
Tricholoma Family,Greasy Tough Shank,e,"[x, f]",[s],"[n, b]",[s],[n],,,[f],[f]
Tricholoma Family,Spotted Tough Shank,p,"[x, f]",,"[w, n]",[i],[w],,,[f],[f]
Tricholoma Family,Fairy Ring Champignon,e,[b],[g],"[n ,w]",,[y],,,[f],[f]
Tricholoma Family,Little Wheel Fungus,p,[x],[g],[w],,"[n, e]",,,[f],[f]
Tricholoma Family,Horse-hair Fungus,p,[x],[g],"[n, p, e]","[s, h]",[k],,,[f],[f]
Tricholoma Family,Bonnet Bell Cap,e,"[b, f]",[g],"[n, g]",[s],"[n, g]",,,[f],[f]
Tricholoma Family,Stump Bell Cap,p,[b],,"[g, n]",[s],"[g, n]",,,[f],[f]
Tricholoma Family,Tufted Bell Cap,p,[x],[g],"[e, n]",,"[n, w]",,,[f],[f]
Tricholoma Family,Milky Bell Cap,e,[c],[g],[n],,[g],,,[f],[f]
Tricholoma Family,Small Bleeding Bell Cap,e,"[c, x, f]",[g],"[n, e]",,[n],,,[f],[f]
Tricholoma Family,Lilac Bell Cap,p,"[b, f, s]",[w],[u],[s],[u],,,[f],[f]
Tricholoma Family,Yellow-stemmed Bell Cap,e,[x],"[g, s, t]","[n, y]",[t],[y],,,[f],[f]
Tricholoma Family,Orange Bell Cap,p,[x],[g],"[o, y]",,"[w, y]",,,[f],[f]
Tricholoma Family,Orange Moss Agaric,p,"[x, f]",,[o],,"[o, y]",,,[f],[f]
Tricholoma Family,Umbrella Navel Cap,p,[x],[g],"[n, y]",[s],[n],,,[f],[f]
Tricholoma Family,Rooting Shank,p,"[x, f]","[h, t, w]","[n, e]",[g],[n],,,[f],[f]
Tricholoma Family,Porcelain Mushroom,e,[x],"[h, t]","[g, n]",[t],"[g, w]",,,[t],[l]
Tricholoma Family,Velvet Shank,e,"[x, f]","[h, t]","[o, n]","[k, s]","[o, n]",,,[f],[f]
Tricholoma Family,Honey Fungus,e,"[x, f]",[s],"[e, n, y]",[i],[n],,,[t],
Tricholoma Family,Bulbous Honey Fungus,e,"[x, f]",[y],"[e, n, y]",,[n],,[w],[t],[e]
Tricholoma Family,Soap-scented Tricholoma,p,[x],[s],"[g, r, n]","[i, y]","[w, n]",,,[f],[f]
Tricholoma Family,Grey Tricholoma,e,"[b, f]",[h],"[g, k]",[s],[g],,,[f],[f]
Tricholoma Family,Scaly Tricholoma,e,"[x, f]",[y],"[g, n]",,[w],,,[f],[f]
Tricholoma Family,Yellow-brown Tricholoma,e,[f],"[g, s, h, t]","[n, o]","[i, t]","[n, o]",,,[f],[f]
Tricholoma Family,Sulphur Tricholoma,p,"[x, f]",,[y],[i],[y],,,[f],[f]
Tricholoma Family,St George's Mushroom,e,"[x, f]","[d, s]",[w],,[w],,,[f],[f]
Tricholoma Family,Clustered Brown Cap,e,"[p, x]",,"[g, n]",,"[g, w]",,,[f],[f]
Tricholoma Family,Changeable Melanoleuca,e,[f],[s],[n],[i],"[n, w]",,,[f],[f]
Tricholoma Family,Plums and custard,p,[f],[y],"[e, u, y]",[y],"[e, u, y]",,,[f],[f]
Wax Gill Family,Ivory Wax Cap,e,"[x, f]",[s],[w],,[w],,,[f],[f]
Wax Gill Family,Yellow Wax cap,p,[x],"[h, s, t]","[o, y]",[g],[o],,,[f],[f]
